AMPPID,Ingredient
1336811000001102,amlodipine
1336911000001107,verapamil
1337011000001106,amlodipine
1337111000001107,verapamil
1337211000001101,verapamil
1337311000001109,verapamil
1337411000001102,verapamil
1337511000001103,verapamil
1337611000001104,atorvastatin
1337711000001108,amiloride
1337811000001100,amiodarone
1337911000001105,trandolapril
1338011000001107,amiloride
1338111000001108,amiloride
1338211000001102,amiloride
1338311000001105,amiodarone
1338411000001103,amiloride
1338511000001104,amiloride
1338611000001100,amiloride
1338711000001109,amiodarone
1338811000001101,amiloride
1338911000001106,amiloride
1339011000001102,atorvastatin
1339111000001101,amiodarone
1339211000001107,amiodarone
1339311000001104,amiloride
1339411000001106,amiodarone
1339511000001105,amiodarone
1339611000001109,amiodarone
1339711000001100,atorvastatin
1339811000001108,bisoprolol
1339911000001103,bisoprolol
1340011000001109,bisoprolol
1340111000001105,bisoprolol
1340211000001104,amiodarone
1340311000001107,bisoprolol
1340411000001100,bisoprolol
1340511000001101,amiodarone
1340611000001102,bisoprolol
1340711000001106,trandolapril
1340811000001103,bisoprolol
1340911000001108,bisoprolol
1341011000001100,bisoprolol
1341111000001104,bisoprolol
1341211000001105,amiodarone
1341311000001102,amiodarone
1341411000001109,trandolapril
1341511000001108,bisoprolol
1341611000001107,trandolapril
1341711000001103,amiodarone
1341811000001106,amiodarone
1341911000001101,amiodarone
1342011000001108,trandolapril
1342111000001109,amiodarone
1342211000001103,amiodarone
1342311000001106,amiodarone
1342411000001104,amiodarone
1342511000001100,trandolapril
1342611000001101,amiodarone
1342711000001105,bisoprolol
1342811000001102,bisoprolol
1342911000001107,bisoprolol
1343011000001104,bisoprolol
1343111000001103,bisoprolol
1343211000001109,bisoprolol
1343311000001101,bumetanide
1343411000001108,bumetanide
1343511000001107,bisoprolol
1343611000001106,bisoprolol
1343711000001102,bisoprolol
1343811000001105,bisoprolol
1343911000001100,candesartan
1344011000001102,bisoprolol
1344111000001101,bisoprolol
1344211000001107,bumetanide
1344311000001104,bumetanide
1344411000001106,bumetanide
1344511000001105,bumetanide
1344611000001109,bumetanide
1344711000001100,bezafibrate
1344811000001108,bumetanide
1344911000001103,bezafibrate
1345011000001103,captopril
1345111000001102,bezafibrate
1345211000001108,captopril
1345311000001100,captopril
1345411000001107,bezafibrate
1345511000001106,captopril
1345611000001105,spironolactone
1345711000001101,spironolactone
1345811000001109,spironolactone
1345911000001104,captopril
1346011000001107,captopril
1346111000001108,captopril
1346211000001102,captopril
1346311000001105,captopril
1346411000001103,captopril
1346511000001104,captopril
1346611000001100,captopril
1346711000001109,captopril
1346811000001101,captopril
1346911000001106,spironolactone
1347011000001105,captopril
1347111000001106,spironolactone
1347211000001100,spironolactone
1347311000001108,spironolactone
1347411000001101,bumetanide
1347511000001102,captopril
1347611000001103,spironolactone
1347711000001107,spironolactone
1347811000001104,captopril
1347911000001109,spironolactone
1348011000001106,bumetanide
1348111000001107,spironolactone
1348211000001101,spironolactone
1348311000001109,bumetanide
1348411000001102,bumetanide
1348511000001103,bumetanide
1348611000001104,bumetanide
1348711000001108,bumetanide
1348811000001100,bumetanide
1348911000001105,bumetanide
1349011000001101,spironolactone
1349111000001100,spironolactone
1349211000001106,spironolactone
1349311000001103,spironolactone
1349411000001105,spironolactone
1349511000001109,spironolactone
1349611000001108,spironolactone
1349711000001104,spironolactone
1349811000001107,spironolactone
1349911000001102,spironolactone
1350011000001106,spironolactone
1350111000001107,spironolactone
1350211000001101,spironolactone
1350311000001109,spironolactone
1350411000001102,spironolactone
1350511000001103,spironolactone
1350611000001104,spironolactone
1350711000001108,spironolactone
1350811000001100,spironolactone
1350911000001105,spironolactone
1351011000001102,sotalol
1351111000001101,sotalol
1351211000001107,sotalol
1351311000001104,sotalol
1351411000001106,sotalol
1351511000001105,candesartan
1351611000001109,candesartan
1351711000001100,sotalol
1351811000001108,candesartan
1351911000001103,candesartan
1352011000001105,sotalol
1352111000001106,celiprolol
1352211000001100,celiprolol
1352311000001108,sotalol
1352411000001101,sotalol
1352511000001102,sotalol
1352611000001103,celiprolol
1352711000001107,sotalol
1352811000001104,sotalol
1352911000001109,celiprolol
1353011000001101,celiprolol
1353111000001100,celiprolol
1353211000001106,sotalol
1353311000001103,celiprolol
1353411000001105,sotalol
1353511000001109,sotalol
1353611000001108,sotalol
1353711000001104,celiprolol
1353811000001107,sotalol
1353911000001102,sotalol
1354011000001104,celiprolol
1354111000001103,sotalol
1354211000001109,sotalol
1354311000001101,fosinopril
1354411000001108,tranexamic acid
1354511000001107,tranexamic acid
1354611000001106,fosinopril
1354711000001102,felodipine
1354811000001105,tranexamic acid
1354911000001100,doxazosin
1355011000001100,tranexamic acid
1355111000001104,felodipine
1355211000001105,felodipine
1355311000001102,tranexamic acid
1355411000001109,tranexamic acid
1355511000001108,irbesartan
1355611000001107,fluvastatin
1355711000001103,fluvastatin
1355811000001106,irbesartan
1355911000001101,fluvastatin
1356011000001109,lacidipine
1356111000001105,lacidipine
1356211000001104,lacidipine
1356311000001107,lacidipine
1356411000001100,perindopril erbumine
1356511000001101,perindopril erbumine
1356611000001102,enalapril
1356711000001106,enalapril
1356811000001103,enalapril
1356911000001108,enalapril
1357011000001107,enalapril
1357111000001108,enalapril
1357211000001102,indapamide
1357311000001105,enalapril
1357411000001103,enalapril
1357511000001104,enalapril
1357611000001100,enalapril
1357711000001109,enalapril
1357811000001101,enalapril
1357911000001106,enalapril
1358011000001108,enalapril
1358111000001109,enalapril
1358211000001103,enalapril
1358311000001106,losartan
1358411000001104,losartan
1358511000001100,indapamide
1358611000001101,indapamide
1358711000001105,losartan
1358811000001102,indapamide
1358911000001107,indapamide
1359011000001103,indapamide
1359111000001102,indapamide
1359211000001108,indapamide
1359311000001100,indapamide
1359411000001107,indapamide
1359511000001106,indapamide
1359611000001105,indapamide
1359711000001101,indapamide
1359811000001109,indapamide
1359911000001104,dipyridamole
1360011000001102,dipyridamole
1360111000001101,dipyridamole
1360211000001107,dipyridamole
1360311000001104,indapamide
1360411000001106,indapamide
1360511000001105,dipyridamole
1360611000001109,dipyridamole
1360711000001100,indapamide
1360811000001108,indapamide
1360911000001103,indapamide
1361011000001106,digoxin
1361111000001107,digoxin
1361211000001101,digoxin
1361311000001109,digoxin
1361411000001102,digoxin
1361511000001103,digoxin
1361611000001104,digoxin
1361711000001108,dipyridamole
1361811000001100,digoxin
1361911000001105,digoxin
1362011000001103,digoxin
1362111000001102,bendroflumethiazide
1362211000001108,furosemide
1362311000001100,furosemide
1362411000001107,bendroflumethiazide
1362511000001106,bendroflumethiazide
1362611000001105,furosemide
1362711000001101,digoxin
1362811000001109,bendroflumethiazide
1362911000001104,furosemide
1363011000001107,bendroflumethiazide
1363111000001108,digoxin
1363211000001102,bendroflumethiazide
1363311000001105,furosemide
1363411000001103,bendroflumethiazide
1363511000001104,digoxin
1363611000001100,furosemide
1363711000001109,digoxin
1363811000001101,furosemide
1363911000001106,furosemide
1364011000001109,furosemide
1364111000001105,digoxin
1364211000001104,furosemide
1364311000001107,furosemide
1364411000001100,digoxin
1364511000001101,bendroflumethiazide
1364611000001102,digoxin
1364711000001106,bendroflumethiazide
1364811000001103,bendroflumethiazide
1364911000001108,digoxin
1365011000001108,digoxin
1365111000001109,furosemide
1365211000001103,furosemide
1365311000001106,digoxin
1365411000001104,furosemide
1365511000001100,digoxin
1365611000001101,furosemide
1365711000001105,furosemide
1365811000001102,furosemide
1365911000001107,digoxin
1366011000001104,furosemide
1366111000001103,digoxin
1366211000001109,furosemide
1366311000001101,furosemide
1366411000001108,furosemide
1366511000001107,digoxin
1366611000001106,digoxin
1366711000001102,furosemide
1366811000001105,digoxin
1366911000001100,furosemide
1367011000001101,furosemide
1367111000001100,digoxin
1367211000001106,furosemide
1367311000001103,furosemide
1367411000001105,lercanidipine
1367511000001109,methyldopa
1367611000001108,methyldopa
1367711000001104,methyldopa
1367811000001107,methyldopa
1367911000001102,methyldopa
1368011000001100,methyldopa
1368111000001104,metoprolol
1368211000001105,metoprolol
1368311000001102,metoprolol
1368411000001109,metoprolol
1368511000001108,metoprolol
1368611000001107,metoprolol
1368711000001103,methyldopa
1368811000001106,metoprolol
1368911000001101,metoprolol
1369011000001105,metoprolol
1369111000001106,metoprolol
1369211000001100,methyldopa
1369311000001108,metoprolol
1369411000001101,methyldopa
1369511000001102,methyldopa
1369611000001103,metoprolol
1369711000001107,metoprolol
1369811000001104,metoprolol
1369911000001109,methyldopa
1370011000001108,metoprolol
1370111000001109,metoprolol
1370211000001103,metoprolol
1370311000001106,methyldopa
1370411000001104,dipyridamole
1370511000001100,methyldopa
1370611000001101,metoprolol
1370711000001105,metoprolol
1370811000001102,metoprolol
1370911000001107,bendroflumethiazide
1371011000001104,metoprolol
1371111000001103,methyldopa
1371211000001109,bendroflumethiazide
1371311000001101,metoprolol
1371411000001108,bendroflumethiazide
1371511000001107,methyldopa
1371611000001106,metoprolol
1371711000001102,indapamide
1371811000001105,metoprolol
1371911000001100,bendroflumethiazide
1372011000001107,methyldopa
1372111000001108,bendroflumethiazide
1372211000001102,metoprolol
1372311000001105,metoprolol
1372411000001103,methyldopa
1372511000001104,metoprolol
1372611000001100,bendroflumethiazide
1372711000001109,metoprolol
1372811000001101,methyldopa
1372911000001106,bendroflumethiazide
1373011000001103,metoprolol
1373111000001102,metoprolol
1373211000001108,bendroflumethiazide
1373311000001100,methyldopa
1373411000001107,metoprolol
1373511000001106,bendroflumethiazide
1373611000001105,methyldopa
1373711000001101,metoprolol
1373811000001109,bendroflumethiazide
1373911000001104,metoprolol
1374011000001101,methyldopa
1374111000001100,metoprolol
1374211000001106,bendroflumethiazide
1374311000001103,metoprolol
1374411000001105,bendroflumethiazide
1374511000001109,bendroflumethiazide
1374611000001108,valsartan
1374711000001104,valsartan
1374811000001107,propranolol
1374911000001102,propranolol
1375011000001102,moxonidine
1375111000001101,isosorbide mononitrate
1375211000001107,isosorbide mononitrate
1375311000001104,dipyridamole
1375411000001106,propranolol
1375511000001105,propranolol
1375611000001109,propranolol
1375711000001100,propranolol
1375811000001108,isosorbide mononitrate
1375911000001103,isosorbide mononitrate
1376011000001106,dipyridamole
1376111000001107,propranolol
1376211000001101,isosorbide mononitrate
1376311000001109,propranolol
1376411000001102,isosorbide mononitrate
1376511000001103,dipyridamole
1376611000001104,isosorbide mononitrate
1376711000001108,isosorbide mononitrate
1376811000001100,isosorbide mononitrate
1376911000001105,moxonidine
1377011000001109,isosorbide mononitrate
1377111000001105,isosorbide mononitrate
1377211000001104,isosorbide mononitrate
1377311000001107,dipyridamole
1377411000001100,dipyridamole
1377511000001101,isosorbide mononitrate
1377611000001102,moxonidine
1377711000001106,dipyridamole
1377811000001103,dipyridamole
1377911000001108,isosorbide mononitrate
1378011000001105,isosorbide mononitrate
1378111000001106,isosorbide mononitrate
1378211000001100,isosorbide mononitrate
1378311000001108,isosorbide mononitrate
1378411000001101,valsartan
1378511000001102,pravastatin
1378611000001103,pravastatin
1378711000001107,naftidrofuryl
1378811000001104,naftidrofuryl
1378911000001109,pravastatin
1379011000001100,naftidrofuryl
1379111000001104,naftidrofuryl
1379211000001105,naftidrofuryl
1379311000001102,naftidrofuryl
1379411000001109,naftidrofuryl
1379511000001108,naftidrofuryl
1379611000001107,naftidrofuryl
1379711000001103,naftidrofuryl
1379811000001106,propranolol
1379911000001101,ramipril
1380011000001100,propranolol
1380111000001104,propranolol
1380211000001105,ramipril
1380311000001102,propranolol
1380411000001109,propranolol
1380511000001108,ramipril
1380611000001107,ramipril
1380711000001103,propranolol
1380811000001106,ramipril
1380911000001101,propranolol
1381011000001109,propranolol
1381111000001105,ramipril
1381211000001104,propranolol
1381311000001107,propranolol
1381411000001100,propranolol
1381511000001101,propranolol
1381611000001102,propranolol
1381711000001106,chloramphenicol
1381811000001103,chloramphenicol
1381911000001108,latanoprost
1382011000001101,chloramphenicol
1382111000001100,chloramphenicol
1382211000001106,chloramphenicol
1382311000001103,chloramphenicol
1382411000001105,fusidic acid
1382511000001109,chloramphenicol
1382611000001108,chloramphenicol
1382711000001104,hypromellose
1382811000001107,chloramphenicol
1382911000001102,propranolol
1383011000001105,propranolol
1383111000001106,propranolol
1383211000001100,propranolol
1383311000001108,hypromellose
1383411000001101,propranolol
1383511000001102,propranolol
1383611000001103,propranolol
1383711000001107,hypromellose
1383811000001104,propranolol
1383911000001109,hypromellose
1384011000001107,hypromellose
1384111000001108,hypromellose
1384211000001102,betaxolol
1384311000001105,hypromellose
1384411000001103,betaxolol
1384511000001104,brimonidine
1384611000001100,hypromellose
1384711000001109,dorzolamide
1384811000001101,propranolol
1384911000001106,propranolol
1385011000001106,propranolol
1385111000001107,propranolol
1385211000001101,propranolol
1385311000001109,propranolol
1385411000001102,isosorbide mononitrate
1385511000001103,propranolol
1385611000001104,verapamil
1385711000001108,hypromellose
1385811000001100,verapamil
1385911000001105,hypromellose
1386011000001102,verapamil
1386111000001101,atenolol
1386211000001107,propranolol
1386311000001104,propranolol
1386411000001106,propranolol
1386511000001105,propranolol
1386611000001109,furosemide
1386711000001100,propranolol
1386811000001108,furosemide
1386911000001103,propranolol
1387011000001104,furosemide
1387111000001103,aspirin
1387211000001109,furosemide
1387311000001101,furosemide
1387411000001108,aspirin
1387511000001107,furosemide
1387611000001106,aspirin
1387711000001102,aspirin
1387811000001105,aspirin
1387911000001100,aspirin
1388011000001103,aspirin
1388111000001102,fluvastatin
1388211000001108,aspirin
1388311000001100,aspirin
1388411000001107,gemfibrozil
1388511000001106,metolazone
1388611000001105,gemfibrozil
1388711000001101,aspirin
1388811000001109,gemfibrozil
1388911000001104,aspirin
1389011000001108,acebutolol
1389111000001109,aspirin
1389211000001103,acebutolol
1389311000001106,aspirin
1389411000001104,aspirin
1389511000001100,acebutolol
1389611000001101,aspirin
1389711000001105,labetalol
1389811000001102,labetalol
1389911000001107,aspirin
1390011000001104,aspirin
1390111000001103,labetalol
1390211000001109,labetalol
1390311000001101,aspirin
1390411000001108,labetalol
1390511000001107,aspirin
1390611000001106,labetalol
1390711000001102,hydralazine
1390811000001105,labetalol
1390911000001100,hydralazine
1391011000001108,gemfibrozil
1391111000001109,labetalol
1391211000001103,hydralazine
1391311000001106,gemfibrozil
1391411000001104,hydralazine
1391511000001100,hydralazine
1391611000001101,gemfibrozil
1391711000001105,hydralazine
1391811000001102,hydralazine
1391911000001107,hydralazine
1392011000001100,gemfibrozil
1392111000001104,gemfibrozil
1392211000001105,hydralazine
1392311000001102,hydralazine
1392411000001109,hydralazine
1392511000001108,labetalol
1392611000001107,labetalol
1392711000001103,hydralazine
1392811000001106,captopril
1392911000001101,bezafibrate
1393011000001109,labetalol
1393111000001105,hydralazine
1393211000001104,captopril
1393311000001107,labetalol
1393411000001100,bezafibrate
1393511000001101,labetalol
1393611000001102,bezafibrate
1393711000001106,labetalol
1393811000001103,bezafibrate
1393911000001108,simvastatin
1394011000001106,captopril
1394111000001107,labetalol
1394211000001101,bezafibrate
1394311000001109,labetalol
1394411000001102,captopril
1394511000001103,captopril
1394611000001104,captopril
1394711000001108,captopril
1394811000001100,doxazosin
1394911000001105,captopril
1395011000001105,captopril
1395111000001106,ciprofibrate
1395211000001100,cyclopenthiazide
1395311000001108,chlortalidone
1395411000001101,celiprolol
1395511000001102,celiprolol
1395611000001103,labetalol
1395711000001107,celiprolol
1395811000001104,labetalol
1395911000001109,celiprolol
1396011000001101,celiprolol
1396111000001100,celiprolol
1396211000001106,celiprolol
1396311000001103,carvedilol
1396411000001105,carvedilol
1396511000001109,carvedilol
1396611000001108,propafenone
1396711000001104,oxerutins
1396811000001107,carvedilol
1396911000001102,acenocoumarol
1397011000001103,labetalol
1397111000001102,flecainide
1397211000001108,labetalol
1397311000001100,labetalol
1397411000001107,flecainide
1397511000001106,eprosartan
1397611000001105,labetalol
1397711000001101,labetalol
1397811000001109,furosemide
1397911000001104,flecainide
1398011000001102,labetalol
1398111000001101,furosemide
1398211000001107,flecainide
1398311000001104,flecainide
1398411000001106,imidapril
1398511000001105,inositol nicotinate
1398611000001109,chloramphenicol
1398711000001100,chloramphenicol
1398811000001108,chloramphenicol
1398911000001103,chloramphenicol
1399011000001107,inositol nicotinate
1399111000001108,chloramphenicol
1399211000001102,inositol nicotinate
1399311000001105,chloramphenicol
1399411000001103,inositol nicotinate
1399511000001104,inositol nicotinate
1399611000001100,flecainide
1399711000001109,chloramphenicol
1399811000001101,flecainide
1399911000001106,nicorandil
1400011000001109,chloramphenicol
1400111000001105,flecainide
1400211000001104,chloramphenicol
1400311000001107,acetazolamide
1400411000001100,losartan
1400411000001100,hydrochlorothiazide
1400511000001101,fluoxetine
1400611000001102,flecainide
1400711000001106,fluoxetine
1400811000001103,fluoxetine
1400911000001108,fluoxetine
1401011000001100,flecainide
1401111000001104,fluoxetine
1401211000001105,dextropropoxyphene hydrochloride
1401211000001105,paracetamol
1401311000001102,fluoxetine
1401411000001109,flecainide
1401511000001108,dextropropoxyphene hydrochloride
1401511000001108,paracetamol
1401611000001107,fluoxetine
1401711000001103,fluoxetine
1401811000001106,dextropropoxyphene hydrochloride
1401811000001106,paracetamol
1401911000001101,flecainide
1402011000001108,dextropropoxyphene hydrochloride
1402011000001108,paracetamol
1402111000001109,fluoxetine
1402211000001103,fluoxetine
1402311000001106,flecainide
1402411000001104,dextropropoxyphene hydrochloride
1402411000001104,paracetamol
1402511000001100,fluoxetine
1402611000001101,flecainide
1402711000001105,fluoxetine
1402811000001102,fluoxetine
1402911000001107,dextropropoxyphene hydrochloride
1402911000001107,paracetamol
1403011000001104,dextropropoxyphene hydrochloride
1403011000001104,paracetamol
1403111000001103,dextropropoxyphene hydrochloride
1403111000001103,paracetamol
1403211000001109,flecainide
1403311000001101,dextropropoxyphene hydrochloride
1403311000001101,paracetamol
1403411000001108,dextropropoxyphene hydrochloride
1403411000001108,paracetamol
1403511000001107,flecainide
1403611000001106,dextropropoxyphene hydrochloride
1403611000001106,paracetamol
1403711000001102,dextropropoxyphene hydrochloride
1403711000001102,paracetamol
1403811000001105,brinzolamide
1403911000001100,captopril
1404011000001102,captopril
1404111000001101,captopril
1404211000001107,captopril
1404311000001104,captopril
1404411000001106,captopril
1404511000001105,captopril
1404611000001109,captopril
1404711000001100,captopril
1404811000001108,captopril
1404911000001103,isosorbide mononitrate
1405011000001103,captopril
1405111000001102,captopril
1405211000001108,isosorbide mononitrate
1405311000001100,isosorbide mononitrate
1405411000001107,isosorbide mononitrate
1405511000001106,isosorbide mononitrate
1405611000001105,isosorbide mononitrate
1405711000001101,captopril
1405811000001109,isosorbide mononitrate
1405911000001104,captopril
1406011000001107,captopril
1406111000001108,isosorbide mononitrate
1406211000001102,isosorbide mononitrate
1406311000001105,captopril
1406411000001103,captopril
1406511000001104,isosorbide mononitrate
1406611000001100,captopril
1406711000001109,isosorbide mononitrate
1406811000001101,captopril
1406911000001106,captopril
1407011000001105,captopril
1407111000001106,isosorbide mononitrate
1407211000001100,captopril
1407311000001108,isosorbide mononitrate
1407411000001101,captopril
1407511000001102,isosorbide mononitrate
1407611000001103,captopril
1407711000001107,captopril
1407811000001104,captopril
1407911000001109,captopril
1408011000001106,isosorbide mononitrate
1408111000001107,isosorbide mononitrate
1408211000001101,isosorbide mononitrate
1408311000001109,paracetamol
1408311000001109,dihydrocodeine tartrate
1408411000001102,isosorbide mononitrate
1408511000001103,paracetamol
1408511000001103,dihydrocodeine tartrate
1408611000001104,isosorbide mononitrate
1408711000001108,isosorbide mononitrate
1408811000001100,isosorbide mononitrate
1408911000001105,paracetamol
1408911000001105,dihydrocodeine tartrate
1409011000001101,paracetamol
1409011000001101,dihydrocodeine tartrate
1409111000001100,isosorbide mononitrate
1409211000001106,paracetamol
1409211000001106,dihydrocodeine tartrate
1409311000001103,paracetamol
1409311000001103,dihydrocodeine tartrate
1409411000001105,isosorbide mononitrate
1409511000001109,paracetamol
1409511000001109,dihydrocodeine tartrate
1409611000001108,isosorbide mononitrate
1409711000001104,paracetamol
1409711000001104,dihydrocodeine tartrate
1409811000001107,paracetamol
1409811000001107,dihydrocodeine tartrate
1409911000001102,isosorbide mononitrate
1410011000001107,paracetamol
1410011000001107,dihydrocodeine tartrate
1410111000001108,ranitidine
1410211000001102,isosorbide mononitrate
1410311000001105,paracetamol
1410311000001105,dihydrocodeine tartrate
1410411000001103,ranitidine
1410511000001104,isosorbide mononitrate
1410611000001100,isosorbide mononitrate
1410711000001109,paracetamol
1410711000001109,dihydrocodeine tartrate
1410811000001101,paracetamol
1410811000001101,dihydrocodeine tartrate
1410911000001106,paracetamol
1410911000001106,dihydrocodeine tartrate
1411011000001103,paracetamol
1411011000001103,dihydrocodeine tartrate
1411111000001102,paracetamol
1411111000001102,dihydrocodeine tartrate
1411211000001108,isosorbide mononitrate
1411311000001100,ranitidine
1411411000001107,isosorbide mononitrate
1411511000001106,ranitidine
1411611000001105,paracetamol
1411611000001105,dihydrocodeine tartrate
1411711000001101,paracetamol
1411711000001101,dihydrocodeine tartrate
1411811000001109,ranitidine
1411911000001104,paracetamol
1411911000001104,dihydrocodeine tartrate
1412011000001106,paracetamol
1412011000001106,dihydrocodeine tartrate
1412111000001107,paracetamol
1412111000001107,dihydrocodeine tartrate
1412211000001101,isosorbide mononitrate
1412311000001109,isosorbide mononitrate
1412411000001102,isosorbide mononitrate
1412511000001103,isosorbide mononitrate
1412611000001104,ranitidine
1412711000001108,ranitidine
1412811000001100,ranitidine
1412911000001105,ranitidine
1413011000001102,ranitidine
1413111000001101,ranitidine
1413211000001107,ranitidine
1413311000001104,ranitidine
1413411000001106,ranitidine
1413511000001105,ranitidine
1413611000001109,ranitidine
1413711000001100,ranitidine
1413811000001108,ranitidine
1413911000001103,ranitidine
1414011000001100,zopiclone
1414111000001104,ranitidine
1414211000001105,ranitidine
1414311000001102,zopiclone
1414411000001109,ranitidine
1414511000001108,lansoprazole
1414611000001107,ranitidine
1414711000001103,ranitidine
1414811000001106,lansoprazole
1414911000001101,zopiclone
1415011000001101,ranitidine
1415111000001100,ranitidine
1415211000001106,zopiclone
1415311000001103,ranitidine
1415411000001105,zopiclone
1415511000001109,ranitidine
1415611000001108,ranitidine
1415711000001104,ranitidine
1415811000001107,ranitidine
1415911000001102,zopiclone
1416011000001105,ranitidine
1416111000001106,ranitidine
1416211000001100,ranitidine
1416311000001108,ranitidine
1416411000001101,zopiclone
1416511000001102,zopiclone
1416611000001103,zopiclone
1416711000001107,lansoprazole
1416811000001104,lansoprazole
1416911000001109,lansoprazole
1417011000001108,zopiclone
1417111000001109,zopiclone
1417211000001103,zopiclone
1417311000001106,zopiclone
1417411000001104,zopiclone
1417511000001100,trimethoprim
1417611000001101,zopiclone
1417711000001105,trimethoprim
1417811000001102,trimethoprim
1417911000001107,zopiclone
1418011000001109,trimethoprim
1418111000001105,trimethoprim
1418211000001104,zopiclone
1418311000001107,zopiclone
1418411000001100,trimethoprim
1418511000001101,trimethoprim
1418611000001102,trimethoprim
1418711000001106,trimethoprim
1418811000001103,trimethoprim
1418911000001108,trimethoprim
1419011000001104,trimethoprim
1419111000001103,trimethoprim
1419211000001109,trimethoprim
1419311000001101,trimethoprim
1419411000001108,diazepam
1419511000001107,trimethoprim
1419611000001106,diazepam
1419711000001102,diazepam
1419811000001105,diazepam
1419911000001100,diazepam
1420011000001103,diazepam
1420111000001102,amitriptyline
1420211000001108,diazepam
1420311000001100,diazepam
1420411000001107,amitriptyline
1420511000001106,diazepam
1420611000001105,diazepam
1420711000001101,amitriptyline
1420811000001109,diazepam
1420911000001104,diazepam
1421011000001107,diazepam
1421111000001108,citalopram
1421211000001102,amitriptyline
1421311000001105,diazepam
1421411000001103,diazepam
1421511000001104,citalopram
1421611000001100,amitriptyline
1421711000001109,diazepam
1421811000001101,diazepam
1421911000001106,amitriptyline
1422011000001104,citalopram
1422111000001103,diazepam
1422211000001109,sertraline
1422311000001101,sertraline
1422411000001108,amitriptyline
1422511000001107,amitriptyline
1422611000001106,diazepam
1422711000001102,diazepam
1422811000001105,amitriptyline
1422911000001100,amitriptyline
1423011000001108,amitriptyline
1423111000001109,amitriptyline
1423211000001103,amitriptyline
1423311000001106,amitriptyline
1423411000001104,diazepam
1423511000001100,diazepam
1423611000001101,diazepam
1423711000001105,diazepam
1423811000001102,diazepam
1423911000001107,diazepam
1424011000001105,diazepam
1424111000001106,diazepam
1424211000001100,diazepam
1424311000001108,diazepam
1424411000001101,diazepam
1424511000001102,diazepam
1424611000001103,omeprazole
1424711000001107,diazepam
1424811000001104,diazepam
1424911000001109,diazepam
1425011000001109,omeprazole
1425111000001105,omeprazole
1425211000001104,omeprazole
1425311000001107,omeprazole
1425411000001100,omeprazole
1425511000001101,omeprazole
1425611000001102,omeprazole
1425711000001106,omeprazole
1425811000001103,omeprazole
1425911000001108,omeprazole
1426011000001100,omeprazole
1426111000001104,omeprazole
1426211000001105,omeprazole
1426311000001102,omeprazole
1426411000001109,omeprazole
1426511000001108,omeprazole
1426611000001107,omeprazole
1426711000001103,amitriptyline
1426811000001106,amitriptyline
1426911000001101,amitriptyline
1427011000001102,amitriptyline
1427111000001101,amitriptyline
1427211000001107,amitriptyline
1427311000001104,omeprazole
1427411000001106,prednisolone
1427511000001105,omeprazole
1427611000001109,prednisolone
1427711000001100,omeprazole
1427811000001108,prednisolone
1427911000001103,omeprazole
1428011000001101,digoxin
1428111000001100,prednisolone
1428211000001106,omeprazole
1428311000001103,prednisolone
1428411000001105,prednisolone
1428511000001109,omeprazole
1428611000001108,enalapril
1428711000001104,omeprazole
1428811000001107,prednisolone
